S.No.,Name,CMP Rs.,P/E,Div Yld %,ROCE %
972.0,Andrew Yule & Co,23.65,91.48,0.0,4.1
973.0,Goodluck India,423.8,13.29,0.83,16.34
974.0,Oriental Aromat.,343.05,55.99,0.15,5.19
975.0,Guj. Themis Bio.,793.7,19.89,0.68,61.14
976.0,Sh. Digvijay Cem,78.9,19.88,5.07,22.69
977.0,Pokarna,369.55,17.41,0.16,14.5
978.0,Apollo Micro Sys,55.15,54.12,0.05,11.5
979.0,Jai Balaji Inds.,76.0,19.79,0.0,13.26
980.0,Onward Technolog,510.65,101.63,0.59,10.37
981.0,Uniphos Enter.,164.1,29.09,3.44,1.28
982.0,NIIT,84.7,257.96,3.54,1.42
983.0,Satia Industries,113.9,5.93,0.18,20.66
984.0,Manali Petrochem,66.15,22.39,3.78,7.55
985.0,5Paisa Capital,370.75,26.07,0.0,12.39
986.0,Dhampur Bio,171.0,10.22,2.05,10.0
987.0,Elpro Internatio,66.94,23.66,0.34,5.27
988.0,Cressanda Solns.,26.76,222.46,0.0,9.52
989.0,Sportking India,850.35,7.4,0.0,18.09
990.0,Punjab Chemicals,918.65,18.43,0.33,30.83
991.0,India Power Corp,11.45,81.92,0.44,3.77
992.0,Deep Industries,174.1,12.61,0.93,8.59
993.0,InfoBeans Tech.,458.25,30.96,0.22,19.21
994.0,Rajnish Wellness,14.42,2409.0,0.0,1.21
995.0,Shriram Properti,64.8,16.7,0.0,10.11
996.0,Praveg,517.35,38.53,0.77,53.08
997.0,Shakti Pumps,594.6,45.29,0.34,10.38
998.0,Speciality Rest.,227.1,12.27,0.0,19.18
999.0,Manaksia,164.75,10.11,1.82,17.19
1000.0,Avadh Sugar,539.05,10.77,1.86,10.69
1001.0,Finkurve Fin.,85.0,75.3,0.0,12.09
1002.0,TGV Sraac,99.93,2.96,0.0,37.83
1003.0,GMR Urban,17.7,4645.04,0.0,19.51
1004.0,Ksolves India,901.0,42.95,2.61,169.61
1005.0,G M Breweries,581.8,11.18,1.03,19.72
1006.0,Linc,715.0,28.43,0.25,31.27
1007.0,KMC Speciality,65.17,39.82,0.0,26.38
1008.0,Control Print,648.65,20.21,1.39,23.12
1009.0,Spectrum Electr.,700.6,125.81,0.14,11.91
1010.0,Mishtann Foods,10.54,21.11,0.03,46.44
1011.0,Renaiss. Global,110.9,12.02,1.53,8.33
1012.0,Permanent Magnet,1219.85,35.26,0.1,40.1
1013.0,Pennar Industrie,77.15,13.8,0.0,13.34
1014.0,GRM Overseas,171.15,19.17,1.55,15.66
1015.0,Likhitha Infra.,259.85,17.07,0.48,36.16
1016.0,Chemcon Special.,277.7,18.46,1.44,15.52
1017.0,India Motor Part,813.85,13.79,2.95,7.08
1018.0,HMT,28.4,1.86,0.0,
1019.0,India Nipp.Elec.,444.4,20.84,2.08,11.35
1020.0,GIC Housing Fin,185.3,4.68,2.43,8.73
1021.0,Dhunseri Vent.,284.7,1.84,1.76,27.94
1022.0,Ganesh Benzopl.,152.05,19.37,0.0,20.83
1023.0,Radiant Cash,92.8,15.79,1.08,39.91
1024.0,Jindal Drilling,341.6,8.85,0.15,12.98
1025.0,Jagsonpal Pharma,377.85,33.69,1.06,26.15
1026.0,Foods & Inns,183.35,22.53,0.14,16.19
1027.0,B.L.Kashyap,43.55,19.81,0.0,13.77
1028.0,Faze Three,403.2,17.07,0.12,17.6
1029.0,Xchanging Sol.,88.0,21.83,0.0,9.24
1030.0,Nahar Spinning,271.25,8.58,1.29,7.54
1031.0,Saint-Gob. Sekur,106.91,33.74,1.4,21.03
1032.0,Ultramarine Pig.,332.1,14.58,1.51,10.83
1033.0,Steelcast,473.1,13.58,0.86,42.31
1034.0,RSWM Ltd,202.6,7.77,12.34,9.78
1035.0,Integra Engg.,277.65,52.45,0.0,24.39
1036.0,Sigachi Indust.,309.6,21.86,0.32,20.42
1037.0,Medicamen Biotec,751.95,63.42,0.13,10.34
1038.0,Vascon Engineers,43.75,9.56,0.0,11.44
1039.0,Agarwal Indl.,635.1,10.3,0.31,23.84
1040.0,Century Enka,434.2,10.49,2.3,9.05
1041.0,Hi-Tech Pipes,72.05,22.12,0.07,14.06
1042.0,Dredging Corpn.,336.1,74.93,0.0,2.52
1043.0,Ambika Cotton,1619.25,8.28,2.16,20.61
1044.0,Vardhman Hold.,2892.25,4.04,0.17,7.65
1045.0,Bodal Chemicals,73.3,24.21,1.09,5.24
1046.0,Ester Industries,110.35,78.72,2.99,4.28
1047.0,Talbros Auto.,743.55,16.52,0.4,20.41
1048.0,Balmer Law. Inv.,412.4,8.25,7.27,20.19
1049.0,Vinyl Chemicals,499.25,25.69,1.0,46.41
1050.0,Man Industries,152.3,13.46,1.31,11.42
1051.0,DE Nora India,1722.55,45.1,0.06,29.59
1052.0,D-Link India,256.05,10.78,1.17,34.68
1053.0,NCL Industries,199.9,20.42,1.5,10.64
1054.0,Sat Industries,79.95,22.68,0.25,18.72
1055.0,Vimta Labs,408.1,19.06,0.49,24.29
1056.0,Kopran,186.65,33.05,1.61,8.3
1057.0,Antony Waste han,317.35,13.19,0.0,18.0
1058.0,Lancer Containe.,144.6,16.56,0.0,28.12
1059.0,Chamanlal Setia,171.95,7.56,0.0,26.19
1060.0,Bajaj Healthcare,321.35,20.62,0.47,11.85
1061.0,Royal Orch.Hotel,322.6,18.81,0.62,26.36
1062.0,Repro India,667.65,101.44,0.0,5.17
1063.0,M K Proteins,697.25,81.92,0.0,21.38
1064.0,HLV,13.2,101.9,0.0,3.23
1065.0,Hercules Hoists,270.05,32.49,0.74,4.57
1066.0,Enkei Wheels,480.15,,0.0,6.78
1067.0,Orient Paper,40.65,8.69,0.62,8.9
1068.0,Mangalam Cement,313.5,29.59,0.48,8.25
1069.0,Kamdhenu,318.6,20.92,0.31,23.55
1070.0,Mold-Tek Technol,301.85,29.28,0.66,41.6
1071.0,Spacenet Enterpr,16.05,304.82,0.0,6.76
1072.0,Kirl. Electric,128.75,27.51,0.0,24.16
1073.0,Natl. Peroxide,1486.95,27.94,0.34,4.88
1074.0,Elin Electronics,170.8,31.65,0.0,9.98
1075.0,Quick Heal Tech,159.4,132.19,2.82,1.53
1076.0,HPL Electric,131.45,28.01,0.11,8.87
1077.0,Orient Green,11.25,91.69,0.0,7.15
1078.0,Indo Amines,118.6,20.51,0.42,17.37
1079.0,Indrapr.Medical,91.35,9.72,2.74,34.2
1080.0,Bliss GVS Pharma,80.25,11.83,0.62,12.13
1081.0,Global Surfaces,196.55,34.38,0.0,9.0
1082.0,Atul Auto,347.7,265.27,0.0,4.53
1083.0,Heubach Colorant,359.6,37.99,0.0,10.99
1084.0,Allsec Tech.,543.2,16.94,8.28,25.93
1085.0,Navkar Corporat.,54.95,13.96,0.0,2.95
1086.0,Monarch Networth,243.1,19.16,0.41,31.19
1087.0,Beekay Steel Ind,428.4,7.48,0.23,15.47
1088.0,OnMobile Global,76.85,84.61,1.95,1.95
1089.0,Eldeco Housing,828.55,18.36,0.97,18.84
1090.0,Tracxn Technolo.,81.0,28.36,0.0,13.59
1091.0,Lincoln Pharma.,404.15,11.1,0.37,21.82
1092.0,Dolat Algotech,45.9,6.96,0.54,22.75
1093.0,Gloster Ltd,732.2,14.73,6.15,6.58
1094.0,Shankar Lal Ram.,125.15,50.32,0.04,21.78
1095.0,Kalyani Invest.,1825.95,18.74,0.0,1.04
1096.0,Nelcast,91.7,26.83,0.44,9.58
1097.0,Jubilant Inds.,529.25,15.68,0.0,26.14
1098.0,Rhetan TMT Ltd,10.0,147.03,0.0,16.83
1099.0,Rushil Decor,298.65,10.21,0.17,16.92
1100.0,SMC Global Sec.,75.15,6.58,3.19,15.21
1101.0,Dynamic Cables,356.55,25.31,0.14,23.96
1102.0,HP Adhesives,426.95,66.2,0.0,11.96
1103.0,K&R Rail Engine.,496.3,148.61,0.0,11.08
1104.0,Oriental Carbon,783.65,16.1,1.79,10.98
1105.0,DMCC Speciality,313.75,114.07,0.32,7.45
1106.0,Yuken India,650.55,95.65,0.12,7.54
1107.0,Visaka Industrie,90.2,13.31,2.22,9.89
1108.0,Tuticorin Alkali,63.84,7.69,0.0,
1109.0,Summit Securitie,712.35,20.95,0.0,0.98
1110.0,Master Trust,356.35,11.76,0.0,25.51
1111.0,Sutlej Textiles,47.05,13.25,3.93,7.76
1112.0,Forbes & Co,594.5,4.24,0.0,66.93
1113.0,Snowman Logistic,45.85,57.17,1.64,6.4
1114.0,Focus Lighting,584.85,34.14,0.09,44.88
1115.0,Menon Bearings,136.45,23.37,1.47,32.14
1116.0,K.P. Energy,343.65,17.43,0.15,51.84
1117.0,Orient Bell,520.5,33.54,0.19,10.42
1118.0,TVS Elec.,403.65,79.08,0.5,13.1
1119.0,Beta Drugs Ltd,780.0,24.41,0.0,38.49
1120.0,Shreyas Shipping,340.8,3.8,0.73,19.96
1121.0,Davangere Sugar,79.41,56.53,0.0,8.4
1122.0,TruCap Finance,64.1,1183.03,0.02,9.57
1123.0,Auto.Corp.of Goa,1213.1,28.87,1.44,14.3
1124.0,Mufin Green,146.65,90.9,0.02,6.82
1125.0,Nitta Gelatin,811.55,10.79,0.49,33.52
1126.0,Emami Paper,121.25,10.61,1.32,10.45
1127.0,Texmaco Infrast.,57.5,237.89,0.13,0.71
1128.0,Assoc.Alcohols,397.3,17.28,0.25,14.56
1129.0,Mallcom (India),1146.65,19.37,0.26,20.54
1130.0,Shilchar Tech.,1875.25,16.57,0.21,53.85
1131.0,Arihant Super.,173.0,16.68,0.0,15.28
1132.0,Cheviot Company,1183.35,13.07,2.28,12.58
1133.0,Iris Clothings,436.15,86.14,0.0,16.38
1134.0,Syncom Formul.,7.55,35.38,0.4,9.67
1135.0,Voith Paper,1613.9,22.31,0.37,14.23
1136.0,Ruby Mills,211.3,20.06,0.71,5.94
1137.0,Black Rose Indus,138.45,89.15,0.4,9.53
1138.0,The Hi-Tech Gear,374.6,30.42,0.4,8.32
1139.0,T N Petro Prod.,78.15,7.46,3.84,15.36
1140.0,Jayant Agro Org.,234.35,14.25,2.13,13.81
1141.0,Gandhi Spl. Tube,575.95,14.78,2.08,38.22
1142.0,Innovana Think.,339.95,25.91,0.22,33.76
1143.0,Deccan Cements,495.8,14.09,1.01,8.96
1144.0,AGS Transact,57.05,18.79,0.0,12.01
1145.0,Sandesh,915.9,6.9,0.55,13.25
1146.0,D P Wires,510.2,16.88,0.2,31.98
1147.0,AGI Infra,565.25,14.35,0.18,29.97
1148.0,DCM Shriram Inds,79.25,11.46,1.89,10.1
1149.0,Bhageria Indust.,157.6,45.7,2.54,4.45
1150.0,Rajapalayam Mill,742.7,9.06,0.13,2.74
1151.0,Paramount Comm.,35.2,14.31,0.0,13.03
1152.0,Mirza Internatio,48.9,25.81,0.0,6.37
1153.0,Rane Brake Lin.,873.0,20.17,2.86,17.69
1154.0,S Chand & Compan,191.45,14.27,0.0,8.03
1155.0,Kellton Tech,69.7,15.13,0.0,14.48
1156.0,Tour. Fin. Corp.,74.25,7.63,1.62,9.47
1157.0,Apex Frozen Food,212.85,18.54,1.17,10.69
1158.0,CSL Finance,320.05,14.54,0.78,13.65
1159.0,Crest Ventures,233.2,1.68,0.43,57.99
1160.0,Sukhjit Starch,422.8,10.42,2.37,15.29
1161.0,Peninsula Land,23.65,8.27,0.0,26.04
1162.0,Jeena Sikho,475.5,19.46,0.0,102.84
1163.0,NINtec Systems,633.8,117.85,0.0,44.36
1164.0,Piccadily Agro,69.33,29.29,0.14,12.8
1165.0,Dr Agarwal's Eye,1384.4,17.62,0.22,18.23
1166.0,Khaitan Chemical,66.7,17.32,0.45,15.35
1167.0,Bajaj Steel Inds,1243.95,10.07,0.16,32.91
1168.0,BMW Industries,28.59,11.81,0.7,12.01
1169.0,Medico Remedies,76.7,87.91,0.0,21.37
1170.0,Ravindra Energy,47.1,38.08,0.0,11.72
1171.0,Windlas Biotech,298.85,14.91,1.17,14.3
1172.0,Muthoot Cap.Serv,384.65,8.04,0.0,11.7
1173.0,Jindal Poly Inve,595.55,2.21,0.0,26.76
1174.0,Dynacons Sys.,492.0,18.71,0.1,36.36
1175.0,IST,535.05,7.64,0.0,10.19
1176.0,D. P. Abhushan,280.1,13.75,0.36,24.56
1177.0,Creative Newtech,494.25,22.85,0.1,24.79
1178.0,Zuari Agro Chem.,148.0,1.82,0.0,15.67
1179.0,Allied Digital,113.15,11.56,0.88,13.45
1180.0,Marine Electric.,49.05,31.76,0.0,17.15
1181.0,Diamines & Chem.,630.1,14.57,0.95,48.4
1182.0,EFC (I),887.1,157.88,0.0,10.98
1183.0,Prevest Denpro,512.7,39.17,0.0,31.92
1184.0,ICE Make Refrig.,389.7,29.56,0.31,36.95
1185.0,VLS Finance,157.75,10.9,0.95,2.13
1186.0,Nahar Poly,246.7,14.04,1.01,5.35
1187.0,Nicco Parks,128.75,27.15,0.89,54.93
1188.0,Cool Caps,520.0,105.27,0.0,14.16
1189.0,Sayaji Hotels,343.0,17.13,0.0,20.63
1190.0,Automotive Stamp,375.55,71.5,0.0,41.42
1191.0,Krishival Foods,297.75,87.06,0.0,19.33
1192.0,Dharmaj Crop,172.5,17.61,0.0,18.88
1193.0,Sh.Pushkar Chem.,183.85,15.62,1.09,11.62
1194.0,Sh. Jagdamba Pol,660.1,19.23,0.08,19.74
1195.0,Magadh Sugar,409.75,11.49,1.71,8.75
1196.0,SKM Egg Prod.,219.05,7.6,0.91,45.67
1197.0,Supershakti Met.,500.0,17.31,0.2,24.2
1198.0,Binny,257.85,7.3,0.0,14.26
1199.0,Benares Hotels,4420.65,24.58,0.23,34.22
1200.0,Banswara Syntex,167.7,5.15,0.75,22.26
1201.0,Mac Charles(I),437.25,13.46,0.0,15.04
1202.0,Jagatjit Inds.,123.25,87.2,0.0,13.37
1203.0,Kamat Hotels,231.55,7.41,0.0,25.66
1204.0,3i Infotech,33.75,168.72,0.0,2.39
1205.0,Salzer Electron.,354.0,15.56,0.62,11.95
1206.0,Z F Steering,622.35,22.19,0.0,8.53
1207.0,T B Z,84.2,13.98,1.19,8.6
1208.0,Wim Plast,466.9,13.74,1.82,12.72
1209.0,Oswal Green Tech,21.8,14.78,6.88,2.38
1210.0,Morganite Crucib,997.6,34.66,2.0,17.9
1211.0,TAAL Enterprises,1792.05,17.88,1.4,38.14
1212.0,Andhra Petrochem,65.59,27.31,2.29,6.4
1213.0,Chembond Chem.,413.75,22.54,1.21,10.94
1214.0,Shreeoswal Seeds,364.9,97.42,0.0,14.02
1215.0,Nikhil Adhesives,120.25,32.42,0.17,25.01
1216.0,Kotyark Indust.,624.3,47.54,0.32,55.91
1217.0,Varanium Cloud,135.6,6.61,0.55,145.92
1218.0,Zim Laboratories,111.85,22.31,0.0,16.65
1219.0,Remus Pharma.,3688.3,63.92,0.0,171.94
1220.0,Anuh Pharma,108.26,14.99,1.62,20.73
1221.0,Munjal Showa,135.3,18.51,3.33,6.01
1222.0,Balaxi Pharma,527.0,11.73,0.09,36.69
1223.0,XT Global Infot.,39.99,33.76,0.0,13.28
1224.0,Baid Finserv,44.2,51.13,0.23,10.03
1225.0,Phantom Digital,455.8,32.75,0.0,75.34
1226.0,Network People,819.9,81.26,0.0,34.35
1227.0,Hind.Composites,356.2,19.15,0.56,3.55
1228.0,Sunshield Chem.,714.9,38.48,0.28,19.26
1229.0,Vasa Denticity,327.85,97.06,0.0,98.65
1230.0,U. Y. Fincorp,27.45,67.38,0.0,4.45
1231.0,Munjal Auto Inds,52.0,23.18,3.85,8.87
1232.0,ASM Technologies,519.75,72.79,1.64,14.06
1233.0,Nahar Indl. Ent.,129.3,6.42,0.0,9.93
1234.0,MIC Electronics,23.25,2451.71,0.0,2.3
1235.0,Hind Rectifiers,310.15,116.56,0.13,5.12
1236.0,GKW,860.35,58.57,0.0,0.57
1237.0,Exxaro Tiles,114.75,64.18,0.0,5.9
1238.0,Axita Cotton,26.05,30.05,0.19,48.66
1239.0,Amines & Plast.,93.01,22.38,0.43,16.1
1240.0,Ind-Swift Labs.,86.1,8.96,0.0,12.75
1241.0,Axtel Industries,314.7,30.46,0.95,26.2
1242.0,Nupur Recyclers,111.05,41.58,0.0,
1243.0,Affordable Robo.,499.1,235.21,0.0,7.66
1244.0,MMP Industries,199.7,23.79,0.5,10.52
1245.0,Birla Cable,169.05,15.14,0.89,18.3
1246.0,Silver Touch,399.65,52.19,0.25,15.33
1247.0,Arfin India,31.88,49.09,0.0,13.03
1248.0,Urja Global,9.6,329.7,0.0,1.63
1249.0,N R Agarwal Inds,296.25,5.08,0.0,21.39
1250.0,Donear Inds.,96.95,13.91,0.21,15.69
