S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,PAT Ann Rs.Cr.
821.,NRB Bearings,184.15,17.82,1784.83,2.23,33.74,67.69,312.44,22.75,16.72,100.18
822.,Precision Camshf,187.75,38.53,1783.36,0.53,11.11,1110.00,278.57,21.63,8.40,46.29
823.,Centum Electron,1383.05,266.37,1782.03,0.29,25.79,504.87,316.28,35.68,7.57,6.69
824.,Seshasayee Paper,281.10,4.48,1772.85,2.13,117.67,107.79,573.17,21.70,36.53,395.83
825.,Tide Water Oil,1009.75,15.37,1759.39,4.16,34.39,-9.00,469.91,5.67,19.78,114.49
826.,Filatex India,39.35,19.43,1746.57,0.25,18.61,-76.31,1046.78,-3.97,12.75,89.90
827.,The Anup Enginee,1757.40,33.85,1740.91,0.46,19.47,-39.83,144.17,44.20,16.50,51.43
828.,Indian Metals,320.85,7.45,1731.12,3.12,64.17,-52.30,636.90,-15.83,18.05,232.34
829.,Skipper,168.35,52.84,1728.45,0.06,20.87,-16.95,657.36,18.95,11.78,32.71
830.,Vakrangee,16.30,1727.01,1727.01,0.31,0.68,-72.58,50.94,5.90,0.29,1.00
831.,Parag Milk Foods,147.00,32.40,1725.42,0.00,22.35,103.78,800.96,42.45,8.57,53.25
832.,SJS Enterprises,566.00,29.30,1722.79,0.00,12.13,-15.29,69.36,-5.62,19.78,58.79
833.,Rama Steel Tubes,36.90,64.45,1718.89,0.05,11.67,52.43,399.24,58.49,15.59,26.67
834.,Monte Carlo Fas.,828.85,12.95,1718.38,2.41,20.03,55.88,236.72,45.71,20.18,132.74
835.,KDDL Ltd,1367.70,32.00,1714.70,0.22,21.25,67.18,299.24,32.47,21.58,53.59
836.,GNA Axles,794.85,13.10,1706.18,0.63,34.02,87.64,383.76,27.72,21.61,130.23
837.,Artemis Medicare,125.20,42.86,1700.97,0.36,10.40,-21.92,187.03,27.93,11.65,39.69
838.,Dwarikesh Sugar,90.25,16.18,1699.42,2.22,46.75,-21.57,532.55,12.03,15.46,105.04
839.,Bharat Bijlee,3002.10,20.39,1696.65,0.67,26.88,131.52,429.78,23.04,8.68,83.22
840.,Jyoti Resins,1410.70,36.45,1692.84,0.18,16.41,137.14,65.08,13.26,72.90,46.44
841.,SEAMEC Ltd,665.55,51.28,1692.16,0.00,-4.64,-197.48,125.84,47.54,3.81,33.00
842.,Jagran Prakashan,77.50,9.98,1686.82,5.16,23.27,-55.87,459.38,8.19,10.82,169.05
843.,Cantabil Retail,1031.10,25.04,1683.79,0.24,16.88,107.88,172.84,29.93,25.29,67.24
844.,Kuantum Papers,192.05,9.38,1675.90,1.56,65.05,1405.79,343.73,36.41,21.96,178.70
845.,Andhra Paper,418.80,3.12,1665.57,1.79,153.90,187.14,590.16,38.56,51.86,533.75
846.,Shankara Build.,727.10,26.35,1661.37,0.34,19.14,22.93,1210.02,54.69,15.59,63.04
847.,Rane Holdings,1162.90,23.80,1660.62,1.46,-8.06,-143.50,937.65,19.69,12.72,69.78
848.,NELCO,726.75,83.51,1658.44,0.28,5.66,86.80,81.98,14.35,21.59,19.86
849.,Servotech Power,155.45,156.37,1652.86,0.03,5.81,384.17,91.50,103.51,17.11,10.57
850.,Gensol Engineer.,1349.20,61.88,1648.58,0.00,13.55,,186.49,,41.31,26.64
851.,Foseco India,2554.45,34.01,1632.29,0.98,14.24,16.53,110.95,12.37,27.67,46.29
852.,Expleo Solutions,1589.25,12.17,1629.38,0.31,29.06,33.67,231.08,18.18,45.70,133.89
853.,Den Networks,34.05,6.87,1624.95,0.00,126.20,159.62,282.91,-6.77,4.68,236.36
854.,S H Kelkar & Co.,117.10,22.19,1620.91,1.71,1.13,-63.96,472.43,4.84,8.75,73.05
855.,SML ISUZU,1117.55,81.55,1617.09,0.00,26.79,334.59,583.22,70.36,9.39,19.83
856.,Prec. Wires (I),90.45,27.16,1615.96,0.96,12.87,-29.67,799.60,7.40,26.75,59.49
857.,Salasar Techno,50.90,39.53,1606.94,0.20,14.73,112.15,294.70,38.83,14.32,40.65
858.,Fairchem Organic,1231.25,36.86,1603.20,0.61,11.86,5.52,151.90,-14.49,21.49,43.50
859.,Abans Holdings,318.50,24.61,1597.15,0.00,22.58,,569.73,,8.64,64.89
860.,Bhagiradha Chem.,1530.75,34.32,1592.82,0.26,9.82,-10.07,122.57,-11.00,22.04,46.41
861.,EIH Assoc.Hotels,521.40,24.59,1588.71,0.96,26.17,271.73,107.83,77.88,23.17,64.62
862.,Timex Group,157.30,34.13,1587.94,0.00,22.39,895.11,83.31,5.34,48.10,46.52
863.,Oriental Hotels,88.65,29.59,1583.28,0.56,20.74,51750.00,111.40,68.58,13.49,53.50
864.,Gokul Agro,107.30,11.96,1583.14,0.00,37.83,-34.62,2638.98,-4.43,28.21,132.41
865.,I G Petrochems,513.85,7.90,1582.39,1.95,38.22,-48.10,604.98,16.97,22.11,200.33
866.,Remedium Life,4368.10,289.60,1572.52,0.00,-4.78,-312.07,75.58,87.59,102.61,5.43
867.,Gulshan Polyols,251.65,34.60,1569.56,0.66,14.55,24.68,301.54,3.19,9.04,45.36
868.,Arvind SmartSp.,344.15,60.89,1559.41,0.00,10.48,-33.33,92.68,-42.48,9.97,25.61
869.,Kalyani Steels,355.90,9.30,1553.86,2.81,69.70,1.90,459.58,2.40,13.67,167.03
870.,Morepen Labs.,30.35,40.11,1551.40,0.00,8.24,-33.12,363.69,-1.25,8.56,38.68
871.,Primo Chemicals,63.98,11.57,1550.51,0.00,17.47,-58.55,147.80,-8.24,43.90,133.98
872.,GOCL Corpn.,312.25,7.12,1547.90,0.96,13.76,-31.47,241.79,87.83,15.45,217.41
873.,Heranba Inds,384.15,13.96,1537.12,0.33,14.33,-66.34,258.90,-26.06,18.13,110.11
874.,Vardhman Special,188.50,15.25,1531.65,0.93,13.68,-53.13,422.04,22.92,20.22,100.45
875.,Guj Inds. Power,101.20,8.11,1530.65,2.47,65.11,19.12,424.13,44.96,8.06,188.69
876.,Igarashi Motors,485.75,291.77,1528.90,0.00,7.63,332.62,172.93,25.48,3.87,5.24
877.,Andhra Sugars,112.05,7.83,1518.67,1.78,33.74,-57.22,539.00,-5.10,17.05,193.96
878.,Valiant Organics,559.15,17.87,1518.29,0.63,34.00,-4.31,271.40,-21.93,14.75,84.98
879.,Kabra Extrusion,451.55,39.83,1516.81,0.78,12.22,6.35,177.96,9.43,15.12,38.08
880.,XPRO India,826.05,33.17,1504.42,0.24,4.27,-75.54,124.27,-12.98,26.88,45.36
881.,RPG LifeScience.,907.25,22.18,1500.50,1.06,10.35,37.63,118.49,14.15,32.60,67.64
882.,Nitin Spinners,266.85,9.10,1500.23,1.50,38.54,-54.91,654.80,-14.86,11.95,164.81
883.,Ador Welding,1096.55,24.91,1491.31,1.14,22.55,83.92,235.48,17.85,26.33,59.87
884.,TajGVK Hotels,235.55,18.50,1476.93,0.00,14.44,434.81,103.62,61.20,21.76,79.82
885.,Everest Inds.,936.90,34.14,1474.96,0.64,13.02,129.63,445.91,19.50,11.60,43.20
886.,Marathon Nextgen,317.65,12.16,1471.48,0.16,16.26,-30.30,170.45,3.08,16.44,120.99
887.,Disa India,10100.80,49.34,1468.86,1.09,10.33,-20.23,76.27,5.16,18.99,29.77
888.,Satin Creditcare,172.05,304.84,1466.28,0.00,98.60,73.29,437.33,20.31,8.40,4.81
889.,NDTV,227.40,36.39,1466.16,0.00,-1.08,-153.15,66.96,-35.49,20.35,40.29
890.,Sasken Technol.,971.25,15.47,1461.82,2.57,17.07,-36.50,102.89,-5.76,17.08,94.48
891.,Hester Bios,1712.15,54.69,1456.50,0.58,5.71,-41.32,67.30,19.18,9.49,26.63
892.,John Cockerill,2947.45,112.96,1456.04,0.07,9.79,499.59,192.59,204.44,9.70,12.89
893.,T N Newsprint,209.35,3.74,1448.91,2.39,102.83,358.24,1427.29,3.90,20.53,387.87
894.,Rel. Indl. Infra,953.55,156.85,1439.86,0.37,10.68,85.25,17.63,7.50,2.49,9.18
895.,Stove Kraft,435.85,40.25,1439.63,0.00,-6.00,-169.36,278.06,6.40,12.65,35.77
896.,Kiri Industries,277.55,13.49,1438.66,0.00,-61.49,-167.54,222.45,-46.64,-3.08,106.65
897.,Ramco Inds.,164.40,11.87,1427.14,0.61,58.43,21.46,350.00,-10.42,3.41,120.20
898.,BF Investment,378.95,5.50,1427.13,0.00,114.09,32.74,5.18,142.06,7.88,259.30
899.,Gallantt Ispat L,58.85,10.08,1419.94,0.00,67.92,-23.60,1075.99,24.67,10.21,140.91
900.,Goldiam Intl.,130.00,16.78,1416.67,1.54,16.22,-28.62,134.95,-11.44,21.15,84.42
901.,Matrimony.com,634.80,30.27,1412.87,0.79,11.40,-2.56,114.51,3.55,17.65,46.67
902.,Capacit'e Infra.,206.80,14.73,1404.00,0.00,21.66,89.91,446.72,28.77,16.38,95.29
903.,Sanmit Infra,88.84,271.52,1403.74,0.04,3.15,186.36,40.21,3.79,19.64,5.17
904.,AVT Natural Prod,92.00,18.10,1401.16,1.09,14.14,-10.84,134.29,3.84,25.51,77.40
905.,Ugar Sugar Works,124.10,13.55,1396.13,0.20,65.27,339.82,608.47,67.45,28.35,103.05
906.,Pearl Global Ind,643.70,10.11,1394.25,1.17,53.32,34.73,729.95,-18.54,18.03,137.92
907.,Rossell India,367.90,50.67,1386.85,0.11,-14.46,-17.09,67.51,23.26,10.08,27.37
908.,Rico Auto Inds,102.40,26.75,1385.47,0.39,25.91,194.56,602.98,17.20,9.62,51.79
909.,Everest Kanto,123.40,15.14,1384.64,0.57,36.25,-45.88,297.89,-37.77,11.89,91.47
910.,Polo Queen Ind.,41.14,603.18,1381.28,0.00,0.21,-55.32,22.43,76.89,2.64,2.29
911.,Jay Bharat Maru.,319.00,36.97,1381.27,0.39,14.11,2.17,673.36,-3.05,11.15,37.36
912.,Media Matrix,12.17,1013.64,1378.55,0.00,-0.13,-172.22,260.44,60.65,4.36,1.36
913.,Hardwyn India,39.50,152.61,1378.09,0.00,3.73,124.70,29.88,-9.89,6.83,9.03
914.,BF Utilities,365.20,11.05,1375.34,0.00,53.44,31.13,231.70,29.87,32.06,124.41
915.,K C P,106.65,32.94,1374.94,0.94,56.32,-19.28,597.88,10.27,7.19,41.74
916.,Balu Forge,164.65,42.91,1372.60,0.06,11.59,4.60,83.50,1.47,24.12,31.99
917.,Prakash Industri,76.40,7.18,1368.19,0.00,57.96,9.92,1010.54,-12.69,7.89,190.48
918.,Jash Engineering,1136.35,26.44,1367.02,0.00,33.22,41.60,168.84,7.39,22.54,51.70
919.,Shaily Engineer.,1479.05,45.24,1356.81,0.00,8.74,18.59,133.51,-12.51,10.30,29.99
920.,Udaipur Cement,24.20,37.83,1356.50,0.00,16.89,-10.16,294.64,15.81,7.19,35.86
921.,Sangam India,300.85,8.74,1355.23,0.66,33.27,-24.60,687.70,-7.86,15.28,155.10
922.,Universal Cables,387.40,11.38,1344.10,0.39,41.06,31.94,582.87,-1.91,12.02,118.15
923.,S P I C,65.85,4.46,1340.97,0.00,25.47,392.65,671.52,150.41,29.53,300.71
924.,EKI Energy,486.40,3.87,1338.30,1.03,38.09,-76.34,406.57,-40.89,236.09,382.66
925.,Ajmera Realty,375.75,18.65,1333.16,0.60,14.79,5.57,114.25,-36.71,8.34,71.50
926.,Insecticid.India,446.10,20.96,1320.36,0.67,-29.01,-229.57,301.90,8.60,9.71,62.99
927.,Moschip Tech.,79.04,213.27,1318.00,0.00,1.52,50.50,53.83,43.89,8.78,6.18
928.,T R I L,99.40,32.37,1317.69,0.15,9.60,2337.84,433.75,27.34,14.97,40.71
929.,Krishana Phosch.,443.95,49.21,1315.81,0.11,6.23,-42.31,145.30,78.74,11.10,26.74
930.,Alicon Cast.,814.90,25.53,1312.95,0.31,9.70,-26.57,319.25,-0.41,12.43,51.42
931.,RACL Geartech,1209.10,34.81,1303.60,0.08,9.54,97.11,95.43,35.92,21.58,37.45
932.,Shanti Educat.,80.92,386.59,1302.81,0.00,1.42,3.65,3.78,263.46,8.21,3.37
933.,Sterling Tools,361.55,33.47,1302.46,0.28,5.26,-2.89,155.10,12.00,12.32,38.92
934.,TCPL Packaging,1427.20,12.40,1298.75,1.40,27.56,48.89,380.99,18.01,22.03,104.72
935.,Uttam Sug.Mills,337.20,10.40,1286.08,0.59,70.00,14.64,527.42,7.55,19.13,123.62
936.,PTC India Fin,20.00,7.31,1284.57,0.00,36.41,45.76,193.75,-15.06,7.84,175.81
937.,DCW,43.15,8.00,1273.59,0.93,35.35,-26.00,588.14,-16.84,24.53,159.19
938.,Pix Transmission,925.30,19.45,1261.18,0.65,19.10,23.46,134.47,7.77,19.54,64.83
939.,Mangalore Chem.,105.95,9.33,1255.72,1.13,67.88,1844.99,1163.62,61.87,13.27,134.66
940.,Transpek Inds.,2247.20,15.04,1255.19,1.22,22.37,97.79,202.76,42.08,20.33,83.48
941.,GTPL Hathway,111.50,9.90,1253.96,3.59,-10.71,-106.68,692.42,12.17,16.38,126.68
942.,Kitex Garments,188.25,21.07,1251.86,0.80,4.22,-90.48,97.71,-61.46,9.25,59.42
943.,Themis Medicare,1359.60,21.99,1251.21,0.37,8.41,-15.48,80.10,0.38,20.54,56.90
944.,IFGL Refractori.,345.55,15.72,1245.34,2.03,29.42,42.13,368.13,1.91,10.06,79.21
945.,Excel Industries,985.65,15.50,1239.03,2.28,2.16,-95.18,226.09,-38.00,8.99,79.94
946.,Knowledge Marine,1147.10,26.33,1238.98,0.00,23.36,,78.82,,89.07,47.05
947.,Sr.Rayala.Hypo,715.70,7.96,1228.49,0.49,71.15,90.60,435.25,5.09,28.20,154.32
948.,Ram Ratna Wires,277.55,27.20,1221.22,0.90,16.03,-8.67,724.41,13.69,17.42,44.89
949.,Nalwa Sons Invst,2372.25,13.41,1219.34,0.00,5.57,-20.31,8.70,-27.38,1.57,90.92
950.,BCL Industries,504.50,18.93,1218.37,0.99,24.60,6.39,456.96,-9.72,13.63,64.36
951.,Avantel,744.25,40.18,1207.02,0.13,10.54,50.79,52.38,12.16,37.08,30.04
952.,Refex Industries,545.55,10.38,1206.05,0.00,50.67,260.76,630.13,256.17,48.06,116.24
953.,Kokuyo Camlin,119.80,49.15,1201.64,0.42,8.76,197.96,216.25,31.90,12.61,24.45
954.,Wardwizard Inno.,46.24,126.80,1197.03,0.16,1.45,-55.79,50.55,-37.97,17.68,9.44
955.,Bharat Wire,175.55,19.16,1192.91,0.00,15.96,106.20,162.33,20.74,16.25,62.25
956.,Raghav Product.,1038.95,46.25,1192.33,0.10,7.24,40.58,34.46,8.03,28.46,25.78
957.,Ritesh Propertie,43.39,466.58,1189.79,0.00,-10.02,-205.70,14.15,-65.45,2.19,2.55
958.,Rane (Madras),730.10,34.17,1187.53,0.00,9.54,720.08,621.56,22.98,12.05,34.75
959.,Genesys Intl.,313.40,79.29,1183.83,0.00,2.00,7.53,46.62,31.55,8.21,14.93
960.,Roto Pumps,752.80,35.79,1182.18,0.42,11.01,58.90,71.96,46.17,25.37,33.03
961.,Pitti Engg.,368.35,20.07,1180.56,0.55,24.84,25.52,247.50,-8.80,18.22,58.83
962.,Shivalik Rasayan,787.35,55.27,1173.88,0.06,7.08,-49.31,62.93,30.72,9.68,21.24
963.,Geojit Fin. Ser.,49.00,12.04,1171.55,3.06,30.15,-17.92,110.82,-9.76,15.77,97.32
964.,S P Apparels,465.35,14.14,1167.68,0.00,20.52,-18.51,275.16,8.37,14.49,82.59
965.,T.V. Today Netw.,194.75,12.22,1162.05,1.54,5.85,-69.43,217.14,-10.37,13.01,95.09
966.,NGL Fine Chem,1878.45,57.70,1160.88,0.09,8.53,8.52,72.94,-6.74,11.29,20.12
967.,Indian Hume Pipe,220.20,20.83,1160.05,0.91,16.01,-19.06,454.20,15.94,10.94,55.70
968.,BIGBLOC Const.,163.80,38.48,1159.51,0.18,5.56,-25.67,46.55,-12.15,35.49,30.13
969.,Asian Star Co.,723.80,13.92,1158.80,0.21,17.17,-18.54,1078.35,-14.39,6.17,83.26
970.,Ashapura Minech.,126.60,10.55,1158.21,0.39,39.79,226.68,696.20,110.19,14.41,109.74
971.,Madras Fertilize,71.85,6.25,1157.50,0.00,47.32,-50.38,768.13,-1.14,26.82,185.33
972.,Andrew Yule & Co,23.65,91.48,1156.37,0.00,-5.86,76.86,81.14,30.35,4.10,12.64
973.,Goodluck India,423.80,13.29,1155.12,0.83,27.91,14.86,764.55,9.10,16.34,86.90
974.,Oriental Aromat.,343.05,55.99,1154.49,0.15,1.39,-86.70,195.34,-3.71,5.19,20.62
975.,Guj. Themis Bio.,793.70,19.89,1153.14,0.68,11.69,19.41,28.17,-2.05,61.14,57.97
976.,Sh. Digvijay Cem,78.90,19.88,1146.62,5.07,24.42,89.45,195.20,15.37,22.69,57.67
977.,Pokarna,369.55,17.41,1145.75,0.16,10.69,-46.84,161.64,-20.90,14.50,65.81
978.,Apollo Micro Sys,55.15,54.12,1145.13,0.05,7.54,6.96,106.85,1.14,11.50,21.16
979.,Jai Balaji Inds.,76.00,19.79,1144.18,0.00,-13.08,-297.58,1724.01,29.10,13.26,57.83
980.,Onward Technolog,510.65,101.63,1142.36,0.59,7.24,124.84,121.37,38.76,10.37,11.24
981.,Uniphos Enter.,164.10,29.09,1141.32,3.44,0.47,195.92,0.00,,1.28,39.23
982.,NIIT,84.70,257.96,1140.18,3.54,-9.45,-165.27,60.05,-26.04,1.42,4.42
983.,Satia Industries,113.90,5.93,1139.00,0.18,46.28,56.56,520.64,75.33,20.66,192.17
984.,Manali Petrochem,66.15,22.39,1137.77,3.78,1.33,-98.20,266.39,-26.19,7.55,50.81
985.,5Paisa Capital,370.75,26.07,1135.81,0.00,14.41,227.50,90.59,2.64,12.39,43.57
986.,Dhampur Bio,171.00,10.22,1135.23,2.05,80.20,13.02,803.23,58.79,10.00,111.08
987.,Elpro Internatio,66.94,23.66,1134.49,0.34,-0.32,-100.03,43.32,90.42,5.27,47.94
988.,Cressanda Solns.,26.76,222.46,1132.34,0.00,1.91,3283.33,14.96,37300.00,9.52,5.09
989.,Sportking India,850.35,7.40,1129.88,0.00,30.86,-70.32,533.67,-10.06,18.09,152.63
990.,Punjab Chemicals,918.65,18.43,1126.26,0.33,3.20,-83.46,195.04,-24.60,30.83,61.10
991.,India Power Corp,11.45,81.92,1114.99,0.44,3.28,-67.81,152.32,-2.70,3.77,13.61
992.,Deep Industries,174.10,12.61,1114.24,0.93,72.26,87.43,103.46,23.21,8.59,88.38
993.,InfoBeans Tech.,458.25,30.96,1113.19,0.22,4.74,-70.41,91.95,0.61,19.21,35.96
994.,Rajnish Wellness,14.42,2409.00,1108.14,0.00,-1.16,40.21,5.71,87.21,1.21,0.46
995.,Shriram Properti,64.80,16.70,1101.72,0.00,15.82,-76.51,117.85,-42.53,10.11,65.97
996.,Praveg,517.35,38.53,1093.53,0.77,5.17,10.47,18.72,12.16,53.08,28.38
997.,Shakti Pumps,594.60,45.29,1092.88,0.34,2.25,-89.75,182.66,-52.50,10.38,24.13
998.,Speciality Rest.,227.10,12.27,1080.03,0.00,54.92,838.10,87.51,21.91,19.18,88.00
999.,Manaksia,164.75,10.11,1079.94,1.82,38.17,-44.57,305.70,-14.76,17.19,106.81
1000.,Avadh Sugar,539.05,10.77,1079.09,1.86,79.09,54.02,846.21,11.54,10.69,100.24
1001.,Finkurve Fin.,85.00,75.30,1078.29,0.00,2.26,227.54,17.29,180.23,12.09,14.32
1002.,TGV Sraac,99.93,2.96,1070.15,0.00,31.64,-53.52,528.84,-1.04,37.83,362.06
1003.,GMR Urban,17.70,4645.04,1068.36,0.00,-470.91,-131.40,1427.87,17.90,19.51,0.23
1004.,Ksolves India,901.00,42.95,1068.23,2.61,7.18,65.06,22.46,65.27,169.61,24.87
1005.,G M Breweries,581.80,11.18,1063.39,1.03,35.10,-12.43,155.97,9.81,19.72,95.15
1006.,Linc,715.00,28.43,1063.37,0.25,12.33,312.37,137.29,24.19,31.27,37.40
1007.,KMC Speciality,65.17,39.82,1062.92,0.00,7.26,70.42,41.08,26.01,26.38,26.69
1008.,Control Print,648.65,20.21,1059.36,1.39,16.01,28.97,88.48,15.40,23.12,52.41
1009.,Spectrum Electr.,700.60,125.81,1059.30,0.14,5.69,,131.80,,11.91,8.42
1010.,Mishtann Foods,10.54,21.11,1054.00,0.03,14.14,7.45,168.89,10.05,46.44,49.92
1011.,Renaiss. Global,110.90,12.02,1052.69,1.53,19.73,-6.41,499.45,-5.64,8.33,87.56
1012.,Permanent Magnet,1219.85,35.26,1049.07,0.10,8.80,45.45,49.38,27.10,40.10,29.75
1013.,Pennar Industrie,77.15,13.80,1041.11,0.00,23.85,41.11,668.43,-3.51,13.34,75.42
1014.,GRM Overseas,171.15,19.17,1026.90,1.55,8.85,-32.60,359.38,2.49,15.66,53.56
1015.,Likhitha Infra.,259.85,17.07,1025.11,0.48,16.24,18.80,98.63,26.42,36.16,60.04
1016.,Chemcon Special.,277.70,18.46,1017.23,1.44,10.47,-50.82,79.08,-11.28,15.52,55.11
1017.,India Motor Part,813.85,13.79,1015.68,2.95,26.02,28.37,166.22,-3.45,7.08,73.67
1018.,HMT,28.40,1.86,1009.91,0.00,-19.90,24.16,37.86,-31.03,,553.93
1019.,India Nipp.Elec.,444.40,20.84,1005.30,2.08,14.21,-26.03,157.97,5.86,11.35,48.23
1020.,GIC Housing Fin,185.30,4.68,997.84,2.43,52.29,6.69,281.17,-2.45,8.73,213.20
1021.,Dhunseri Vent.,284.70,1.84,997.02,1.76,65.69,-44.85,140.05,3.27,27.94,541.89
1022.,Ganesh Benzopl.,152.05,19.37,991.13,0.00,12.26,52.38,51.78,2.25,20.83,51.17
1023.,Radiant Cash,92.80,15.79,990.25,1.08,15.54,41.40,89.69,14.62,39.91,62.73
1024.,Jindal Drilling,341.60,8.85,989.96,0.15,17.92,-23.25,103.27,-1.20,12.98,111.83
1025.,Jagsonpal Pharma,377.85,33.69,989.89,1.06,5.60,1706.45,55.45,8.24,26.15,29.38
1026.,Foods & Inns,183.35,22.53,982.70,0.14,15.20,416.04,331.48,69.80,16.19,43.61
1027.,B.L.Kashyap,43.55,19.81,981.79,0.00,-31.93,101.04,275.92,-14.91,13.77,49.57
1028.,Faze Three,403.20,17.07,980.54,0.12,14.37,-9.68,132.99,-14.53,17.60,57.44
1029.,Xchanging Sol.,88.00,21.83,980.32,0.00,11.02,-0.45,45.77,1.55,9.24,44.90
1030.,Nahar Spinning,271.25,8.58,978.27,1.29,9.79,-90.26,723.74,-27.36,7.54,113.99
1031.,Saint-Gob. Sekur,106.91,33.74,974.06,1.40,8.15,29.78,47.38,4.64,21.03,28.87
1032.,Ultramarine Pig.,332.10,14.58,969.73,1.51,9.63,-24.53,118.58,-9.40,10.83,66.50
1033.,Steelcast,473.10,13.58,957.55,0.86,19.54,102.91,120.32,29.32,42.31,70.52
1034.,RSWM Ltd,202.60,7.77,954.28,12.34,44.70,-60.40,956.23,-14.73,9.78,122.85
1035.,Integra Engg.,277.65,52.45,954.15,0.00,4.77,117.81,35.73,16.16,24.39,18.19
1036.,Sigachi Indust.,309.60,21.86,951.79,0.32,7.32,-37.11,72.42,-0.18,20.42,43.54
1037.,Medicamen Biotec,751.95,63.42,951.30,0.13,4.05,47.27,37.15,63.30,10.34,15.00
1038.,Vascon Engineers,43.75,9.56,950.76,0.00,49.61,358.50,327.34,50.21,11.44,99.41
1039.,Agarwal Indl.,635.10,10.30,949.97,0.31,28.30,19.26,659.54,1.28,23.84,92.26
1040.,Century Enka,434.20,10.49,948.73,2.30,14.51,-70.78,472.62,-17.43,9.05,90.44
1041.,Hi-Tech Pipes,72.05,22.12,942.49,0.07,15.84,41.18,701.86,18.00,14.06,42.60
1042.,Dredging Corpn.,336.10,74.93,941.08,0.00,-14.18,-1281.67,337.22,16.65,2.52,12.56
1043.,Ambika Cotton,1619.25,8.28,927.02,2.16,18.13,-61.18,186.22,-28.47,20.61,111.90
1044.,Vardhman Hold.,2892.25,4.04,922.63,0.17,40.81,-56.46,-5.43,-190.35,7.65,228.43
1045.,Bodal Chemicals,73.30,24.21,920.82,1.09,2.81,-90.26,389.58,-34.78,5.24,38.03
1046.,Ester Industries,110.35,78.72,920.25,2.99,-17.75,-174.61,294.66,-2.78,4.28,11.69
1047.,Talbros Auto.,743.55,16.52,918.28,0.40,16.88,33.86,174.95,18.17,20.41,55.58
1048.,Balmer Law. Inv.,412.40,8.25,915.53,7.27,43.98,-5.71,610.36,5.85,20.19,110.93
1049.,Vinyl Chemicals,499.25,25.69,915.48,1.00,7.30,-49.69,106.93,-11.26,46.41,35.64
1050.,Man Industries,152.30,13.46,915.37,1.31,26.05,-1.74,597.66,-2.63,11.42,68.00
1051.,DE Nora India,1722.55,45.10,914.67,0.06,12.32,21.98,27.63,-28.97,29.59,20.28
1052.,D-Link India,256.05,10.78,909.10,1.17,19.73,69.65,309.18,14.87,34.68,84.33
1053.,NCL Industries,199.90,20.42,904.20,1.50,9.82,-37.09,434.88,-2.36,10.64,44.29
1054.,Sat Industries,79.95,22.68,904.11,0.25,11.11,39.36,107.07,-1.40,18.72,39.86
1055.,Vimta Labs,408.10,19.06,903.08,0.49,12.25,3.11,80.80,9.78,24.29,47.39
1056.,Kopran,186.65,33.05,899.85,1.61,8.04,-54.08,148.88,4.24,8.30,27.23
1057.,Antony Waste han,317.35,13.19,897.69,0.00,12.38,-52.34,203.15,7.93,18.00,68.08
1058.,Lancer Containe.,144.60,16.56,890.07,0.00,10.97,-5.67,200.95,-14.32,28.12,53.74
1059.,Chamanlal Setia,171.95,7.56,889.56,0.00,37.74,67.88,357.17,15.36,26.19,117.67
1060.,Bajaj Healthcare,321.35,20.62,886.87,0.47,3.59,-79.45,158.44,-9.83,11.85,43.02
1061.,Royal Orch.Hotel,322.60,18.81,884.74,0.62,13.12,119.76,72.55,83.53,26.36,47.03
1062.,Repro India,667.65,101.44,884.58,0.00,5.06,208.12,121.05,29.15,5.17,8.72
1063.,M K Proteins,697.25,81.92,872.43,0.00,6.92,,175.35,,21.38,10.65
1064.,HLV,13.20,101.90,870.22,0.00,10.79,295.50,52.03,106.22,3.23,8.54
1065.,Hercules Hoists,270.05,32.49,864.16,0.74,84.95,725.00,47.47,55.49,4.57,26.60
1066.,Enkei Wheels,480.15,,863.06,0.00,-4.40,-149.44,132.43,-22.40,6.78,3.95
1067.,Orient Paper,40.65,8.69,862.53,0.62,49.95,2370.45,258.48,35.23,8.90,99.25
1068.,Mangalam Cement,313.50,29.59,862.04,0.48,15.61,-10.70,459.33,1.70,8.25,29.13
1069.,Kamdhenu,318.60,20.92,858.17,0.31,10.76,-23.47,166.89,-9.89,23.55,41.02
1070.,Mold-Tek Technol,301.85,29.28,856.98,0.66,10.11,114.65,42.56,49.18,41.60,29.27
1071.,Spacenet Enterpr,16.05,304.82,856.54,0.00,1.15,21.05,25.88,12.23,6.76,2.81
1072.,Kirl. Electric,128.75,27.51,855.08,0.00,10.89,-89.71,145.05,38.01,24.16,31.08
1073.,Natl. Peroxide,1486.95,27.94,854.55,0.34,10.61,273.37,88.33,76.80,4.88,30.59
1074.,Elin Electronics,170.80,31.65,848.18,0.00,1.60,-87.62,268.72,-15.23,9.98,26.80
1075.,Quick Heal Tech,159.40,132.19,846.00,2.82,-6.64,-123.64,49.28,-52.48,1.53,6.40
1076.,HPL Electric,131.45,28.01,845.23,0.11,11.27,-16.60,362.75,11.57,8.87,30.18
1077.,Orient Green,11.25,91.69,844.56,0.00,-18.97,16.75,44.43,17.60,7.15,9.21
1078.,Indo Amines,118.60,20.51,838.47,0.42,17.13,644.78,234.57,9.71,17.37,40.88
