S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,PAT Ann Rs.Cr.
468.,Schneider Elect.,260.45,57.49,6227.36,0.00,44.84,1601.87,410.51,20.73,27.61,108.32
469.,Triven.Engg.Ind.,283.10,11.66,6197.00,1.15,190.31,66.89,1582.56,47.90,17.52,531.47
470.,PTC Industries,4602.15,306.40,6158.72,0.00,5.59,129.10,59.13,16.65,10.63,20.10
471.,SIS,421.75,17.91,6146.14,0.00,93.11,-3.99,2995.66,13.13,10.55,343.10
472.,PCBL Ltd,162.75,14.38,6143.20,3.38,102.28,15.87,1373.81,12.72,16.96,427.30
473.,Go Fashion (I),1136.90,74.16,6140.28,0.00,14.78,20.16,157.59,35.57,17.72,82.80
474.,Caplin Point Lab,806.55,16.27,6123.47,0.50,101.24,28.05,389.28,14.75,26.82,376.26
475.,Esab India,3976.20,45.10,6119.37,1.96,41.86,96.25,301.68,13.97,71.44,135.68
476.,Rolex Rings,2225.10,30.59,6059.68,0.00,46.41,18.82,299.48,4.12,31.79,198.09
477.,ION Exchange,412.90,31.06,6055.86,0.24,81.19,-2.26,647.48,30.45,33.41,194.96
478.,Mahindra Holiday,300.05,53.09,6043.22,0.00,56.31,254.82,711.61,31.15,9.93,113.82
479.,Titagarh Rail,503.80,44.74,6023.99,0.00,48.24,116.80,974.22,130.75,17.59,134.63
480.,TCI Express,1571.70,43.23,6021.44,0.51,38.45,7.01,326.25,9.41,32.67,139.28
481.,R C F,109.05,6.72,6016.18,3.53,159.60,-64.09,4683.94,13.97,21.06,895.37
482.,Guj Pipavav Port,122.80,17.42,5936.64,4.97,97.32,42.42,234.73,6.86,19.58,340.89
483.,Mastek,1943.50,21.38,5933.26,0.98,72.59,-9.17,709.18,21.95,25.40,277.53
484.,Karnataka Bank,189.35,5.01,5910.38,2.11,353.75,171.38,1969.30,24.74,6.10,1180.24
485.,MTAR Technologie,1917.75,56.68,5898.92,0.16,30.74,55.17,196.33,99.16,22.53,104.08
486.,Action Const.Eq.,490.10,34.01,5836.27,0.12,47.15,33.15,613.84,20.22,28.89,171.61
487.,J & K Bank,60.65,4.94,5831.38,0.00,472.62,32.46,2512.30,24.84,5.11,1180.52
488.,JK Tyre & Indust,236.75,19.43,5829.52,0.63,111.56,177.43,3632.47,9.68,11.34,300.01
489.,Sterlite Tech.,146.20,25.23,5827.77,0.34,63.00,1415.15,1872.00,25.05,11.02,231.00
490.,Himadri Special,132.70,24.49,5825.47,0.19,76.21,846.44,1028.90,23.40,13.70,237.86
491.,Indiabulls Hous.,123.40,5.16,5819.50,0.00,262.61,-15.04,2075.29,-5.21,9.80,1127.68
492.,Hindustan Foods,515.85,81.77,5815.83,0.00,20.23,65.14,659.70,13.46,18.19,71.12
493.,Kennametal India,2645.95,59.83,5815.33,0.91,15.60,-42.01,255.70,4.07,25.10,113.47
494.,C P C L,387.75,1.63,5774.04,0.52,1004.19,0.98,18008.89,9.72,45.54,3533.81
495.,Authum Invest,338.70,88.89,5752.65,0.00,1937.70,,-80.97,,,64.72
496.,Anant Raj,177.35,38.60,5747.85,0.28,48.44,114.53,280.15,29.75,5.82,148.90
497.,Greenlam Industr,451.55,44.79,5734.35,0.33,46.10,80.36,533.81,15.20,14.16,128.04
498.,Star Cement,140.90,23.00,5694.90,0.00,96.12,8.71,825.04,10.12,16.80,247.60
499.,CMS Info Systems,367.95,20.63,5681.15,0.00,77.32,38.59,449.26,12.64,26.40,275.41
500.,Kirloskar Oil,392.00,17.11,5675.60,1.02,78.91,16.33,1383.83,17.08,13.73,331.65
501.,Hinduja Global,1079.60,21.01,5670.09,12.64,25.77,-47.70,1069.81,-3.62,3.47,269.90
502.,Suprajit Engg.,408.45,37.16,5652.65,0.49,41.01,-15.69,699.01,38.17,15.22,152.11
503.,Bengal & Assam,4963.05,5.71,5606.42,0.30,344.68,47.02,4103.41,10.84,17.66,981.88
504.,H.G. Infra Engg.,855.40,11.30,5574.74,0.12,170.93,64.43,1535.43,44.21,25.37,493.19
505.,Transport Corp.,716.40,17.35,5556.65,0.98,82.41,-1.15,979.33,9.00,22.72,320.29
506.,Fusion Microfin.,549.35,14.28,5528.15,0.00,114.52,767.58,500.89,42.92,14.24,387.15
507.,Rain Industries,163.20,4.33,5489.23,0.61,141.88,-62.02,5253.49,18.41,17.41,1439.07
508.,Guj. Ambuja Exp,238.60,16.57,5471.94,0.27,69.56,-54.62,1428.50,13.78,17.91,330.17
509.,Mishra Dhatu Nig,291.95,35.09,5469.39,1.06,66.11,-18.37,344.57,6.58,14.99,155.88
510.,JK Paper,320.25,4.45,5425.11,1.72,283.52,64.86,1719.42,28.33,29.34,1220.23
511.,VST Industries,3460.60,16.34,5343.17,4.33,68.70,-21.21,301.74,-0.30,38.06,326.98
512.,Avanti Feeds,392.05,18.59,5341.51,1.59,101.45,14.75,1093.00,-17.96,22.12,287.35
513.,G M D C,165.45,4.33,5261.31,2.60,452.29,107.55,951.76,-9.98,31.47,1215.73
514.,Sarda Energy,1467.75,8.59,5172.08,0.51,114.91,-45.27,1076.27,1.72,19.81,602.11
515.,ICRA,5341.65,38.12,5155.35,0.75,38.63,14.85,109.08,16.40,20.06,135.24
516.,Varroc Engineer,337.00,132.77,5148.90,0.00,40.01,221.68,1690.06,2.30,8.54,38.78
517.,Paradeep Phospha,63.20,16.95,5147.62,0.00,9.47,-73.44,3643.94,91.91,10.75,303.68
518.,FDC,310.25,26.56,5147.36,0.00,30.66,195.09,434.80,27.49,13.10,193.83
519.,Orient Electric,239.40,67.34,5107.98,0.63,24.62,-49.53,657.91,-12.67,19.23,75.85
520.,Spandana Sphoort,719.10,413.65,5104.41,0.00,116.21,536.07,475.34,80.62,5.95,12.34
521.,ISGEC Heavy,693.60,25.96,5100.01,0.29,93.16,128.83,2042.74,27.98,10.53,196.49
522.,Elantas Beck,6427.75,53.18,5097.21,0.08,30.05,26.74,169.44,8.43,21.55,89.54
523.,Sobha,537.00,48.88,5093.22,0.56,48.60,242.25,1209.90,70.34,8.25,104.20
524.,JSW Holdings,4588.40,17.00,5093.12,0.00,17.36,28.78,24.45,27.48,2.07,299.61
525.,Vaibhav Global,307.70,48.38,5078.42,1.95,23.34,-21.49,692.72,1.10,11.13,104.96
526.,Power Mech Proj.,3365.65,24.20,5016.96,0.04,74.58,57.87,1174.10,30.11,22.22,207.32
527.,Sharda Cropchem,553.70,14.61,4995.51,1.08,198.85,12.35,1481.82,3.30,20.76,341.96
528.,Gujarat Alkalies,678.00,8.65,4979.23,1.47,111.89,-49.52,1138.12,-0.29,13.14,575.70
529.,R Systems Intl.,418.00,33.91,4945.08,1.56,35.84,20.71,404.07,17.77,30.64,139.43
530.,CSB Bank,284.25,9.01,4931.33,0.00,156.34,19.64,636.49,22.51,6.92,547.36
531.,GHCL,515.25,4.53,4925.06,3.40,226.55,12.36,1119.20,6.30,35.53,1087.13
532.,Vesuvius India,2399.55,35.68,4871.09,0.34,43.35,83.45,367.91,18.02,16.66,116.79
533.,Kirl. Brothers,610.30,20.37,4846.33,0.74,100.70,83.85,1124.60,17.83,21.92,237.96
534.,Borosil,422.45,55.61,4834.00,0.00,22.43,-38.24,241.02,21.81,13.25,86.92
535.,Vijaya Diagnost.,472.70,57.01,4824.90,0.21,27.72,15.94,120.99,4.12,18.62,84.63
536.,La Opala RG,432.25,39.01,4797.98,0.53,29.20,22.64,108.88,21.45,22.32,122.98
537.,Rossari Biotech,869.85,44.81,4797.70,0.06,28.98,20.35,406.47,-7.40,18.45,107.07
538.,Nazara Technolo.,724.60,117.86,4794.97,0.00,9.40,49.61,289.30,65.22,8.54,40.68
539.,Newgen Software,678.70,28.16,4749.55,0.74,76.38,36.05,283.44,34.61,23.95,168.67
540.,Mrs Bectors,806.95,52.70,4746.28,0.31,27.65,171.08,346.08,37.16,20.94,90.07
541.,Arvind Fashions.,356.40,127.53,4733.22,0.00,28.53,1347.11,1140.01,24.36,13.72,37.12
542.,MMTC,31.55,15.34,4732.50,0.00,9.85,-89.18,708.20,-68.60,22.95,308.58
543.,Surya Roshni,866.90,14.07,4716.71,0.46,155.54,88.58,2151.19,-6.51,22.81,335.28
544.,Ujjivan Fin.Ser.,386.15,5.28,4698.60,1.29,231.69,68.94,1231.25,44.77,10.54,890.72
545.,Edelweiss.Fin.,49.80,13.65,4697.51,2.91,172.11,251.73,3012.39,57.61,10.25,344.16
546.,S C I,100.80,5.87,4695.26,0.33,359.83,183.91,1418.14,8.35,8.79,800.12
547.,Ami Organics,1272.20,55.66,4635.52,0.24,27.20,27.82,186.38,29.85,20.45,83.29
548.,Tata Coffee,247.95,27.58,4630.97,1.21,70.34,17.49,723.01,10.17,11.66,167.92
549.,Sansera Enginee.,870.45,30.67,4607.25,0.23,37.29,-8.56,547.19,7.15,14.60,150.20
550.,Meghmani Fineche,1107.00,13.02,4599.60,0.45,76.80,-22.49,562.18,12.71,32.07,353.36
551.,L T Foods,131.70,11.36,4573.32,0.76,131.82,79.26,1821.38,19.33,17.67,402.65
552.,Lux Industries,1508.85,33.01,4537.37,0.80,29.84,-59.18,715.19,21.86,12.72,137.47
553.,Rategain Travel,417.85,66.17,4526.03,0.00,33.79,190.29,182.93,69.57,10.08,68.40
554.,NESCO,631.55,15.31,4449.90,0.48,84.91,58.53,157.24,72.66,20.72,290.64
555.,Nava,306.10,4.79,4441.53,1.96,341.48,3.03,881.44,-13.28,18.84,926.52
556.,PDS,338.15,16.74,4436.43,1.51,76.61,-26.64,2741.66,-1.22,25.45,264.98
557.,Health.Global,318.45,251.50,4431.46,0.00,5.65,151.11,441.71,21.14,8.37,17.62
558.,HLE Glascoat,648.60,81.36,4427.70,0.15,22.37,26.89,211.10,33.96,17.70,54.42
559.,Responsive Ind,162.95,180.92,4349.34,0.06,22.73,747.29,237.15,-27.00,4.62,24.04
560.,Aarti Drugs,465.10,28.18,4306.83,0.22,53.17,0.32,696.41,8.56,15.11,152.81
561.,HBL Power System,155.00,44.10,4296.52,0.26,35.00,3.71,402.61,7.67,13.60,97.43
562.,Share India Sec.,1307.25,13.03,4270.75,0.46,106.89,41.28,340.72,16.31,52.44,327.73
